项目,项目名称,建筑类型,特征,碳排放,建筑面积,单位面积碳排放,年份,既有与否,城市
超高层项目1,恒基,办公,超高层,13099.93,,51.47,NA,新建建筑,上海
超高层项目2,和黄,办公,超高层,12936,159431.7431,81.1381708,NA,新建建筑,上海
超高层项目3,白玉兰,办公,超高层,26350,244416.0067,107.8081352,NA,新建建筑,上海
超高层项目4,张江58-01,办公,超高层,18572.48783,300547.2,61.79557762,NA,新建建筑,上海
综合体1,AT,购物中心,综合体,16026,67181,238.5495899,2019,既有建筑,上海
综合体1,AT,购物中心,综合体,14302,67181,212.8875724,2020,既有建筑,上海
综合体1,AT,购物中心,综合体,16044,67181,238.8175228,2021,既有建筑,上海
综合体2,UB,购物中心,综合体,8419,47190,178.406442,2019,既有建筑,上海
综合体2,UB,购物中心,综合体,8419,47190,178.406442,2020,既有建筑,上海
综合体2,UB,购物中心,综合体,8814,47190,186.7768595,2021,既有建筑,上海
综合体3,DN,购物中心,综合体,26623,103410,257.4509235,2019,既有建筑,上海
综合体3,DN,购物中心,综合体,25607,103410,247.6259549,2020,既有建筑,上海
综合体3,DN,购物中心,综合体,28060,103410,271.3470651,2021,既有建筑,上海
综合体4,JQ,购物中心,综合体,25091,98630,254.3952144,2018,既有建筑,上海
综合体4,JQ,购物中心,综合体,24790,98630,251.3434046,2019,既有建筑,上海
综合体4,JQ,购物中心,综合体,21797,98630,220.9976681,2020,既有建筑,上海
综合体4,JQ,购物中心,综合体,24768,98630,251.1203488,2021,既有建筑,上海
综合体5,HZ,购物中心,综合体,16780,108128,155.1864457,2019,既有建筑,杭州
综合体5,HZ,购物中心,综合体,15218,108128,140.7406037,2020,既有建筑,杭州
综合体5,HZ,购物中心,综合体,15816,108128,146.2710861,2021,既有建筑,杭州
综合体6,KS,购物中心,综合体,15901,107805,147.4977969,2019,既有建筑,苏州
综合体6,KS,购物中心,综合体,13472,107805,124.9663745,2020,既有建筑,苏州
综合体6,KS,购物中心,综合体,14194,107805,131.663652,2021,既有建筑,苏州
综合体2,UB,办公,综合体,831,14291,58.14848506,2019,既有建筑,上海
综合体2,UB,办公,综合体,831,14291,58.14848506,2020,既有建筑,上海
综合体2,UB,办公,综合体,1132,14291,79.21069204,2021,既有建筑,上海
综合体3,DN,办公,综合体,969,59601,16.25811647,2019,既有建筑,上海
综合体3,DN,办公,综合体,582,59601,9.76493683,2020,既有建筑,上海
综合体3,DN,办公,综合体,1021,59601,17.13058506,2021,既有建筑,上海
综合体4,JQ,办公,综合体,1542,16102,95.7645013,2018,既有建筑,上海
综合体4,JQ,办公,综合体,1438,16102,89.30567631,2019,既有建筑,上海
综合体4,JQ,办公,综合体,1369,16102,85.02049435,2020,既有建筑,上海
综合体4,JQ,办公,综合体,1350,16102,83.84051671,2021,既有建筑,上海
综合体5,HZ,办公,综合体,1107,32358,34.21101428,2019,既有建筑,杭州
综合体5,HZ,办公,综合体,264,13642,19.35200117,2019,既有建筑,杭州
综合体5,HZ,办公,综合体,204,13971,14.6016749,2019,既有建筑,杭州
综合体5,HZ,办公,综合体,1096,32358,33.87106743,2020,既有建筑,杭州
综合体5,HZ,办公,综合体,416,13642,30.49406245,2020,既有建筑,杭州
综合体5,HZ,办公,综合体,256,13971,18.32367046,2020,既有建筑,杭州
综合体5,HZ,办公,综合体,1415,32358,43.72952593,2021,既有建筑,杭州
综合体5,HZ,办公,综合体,494,13642,36.21169916,2021,既有建筑,杭州
综合体5,HZ,办公,综合体,416,13971,29.7759645,2021,既有建筑,杭州
综合体6,KS,办公,综合体,801,15503,51.66741921,2019,既有建筑,苏州
综合体6,KS,办公,综合体,665,15503,42.89492356,2020,既有建筑,苏州
综合体6,KS,办公,综合体,659,15503,42.5079017,2021,既有建筑,苏州
综合体3,DN,宾馆,综合体,4137,30525,135.5282555,2019,既有建筑,上海
综合体3,DN,宾馆,综合体,3139,30525,102.8337428,2020,既有建筑,上海
综合体3,DN,宾馆,综合体,3544,30525,116.1015561,2021,既有建筑,上海
综合体1,AT,综合体,综合体,16221,109315,148.387687,2019,既有建筑,上海
综合体1,AT,综合体,综合体,14575,109315,133.330284,2020,既有建筑,上海
综合体1,AT,综合体,综合体,16239,109315,148.5523487,2021,既有建筑,上海
综合体3,DN,综合体,综合体,32643,248299,131.4664981,2019,既有建筑,上海
综合体3,DN,综合体,综合体,30406,248299,122.4571988,2020,既有建筑,上海
综合体3,DN,综合体,综合体,33571,248299,135.2039275,2021,既有建筑,上海
综合体5,HZ,综合体,综合体,18863,235582,80.06978462,2019,既有建筑,杭州
综合体5,HZ,综合体,综合体,17423,235582,73.95726329,2020,既有建筑,杭州
综合体5,HZ,综合体,综合体,18495,235582,78.50769583,2021,既有建筑,杭州
综合体4,JQ,综合体,综合体,28257,165081,171.1705163,2018,既有建筑,上海
综合体4,JQ,综合体,综合体,27647,165082,167.4743461,2019,既有建筑,上海
综合体4,JQ,综合体,综合体,24220,165083,146.7140772,2020,既有建筑,上海
综合体4,JQ,综合体,综合体,27093,165084,164.1164498,2021,既有建筑,上海
综合体6,KS,综合体,综合体,17697,181345,97.58747139,2019,既有建筑,苏州
综合体6,KS,综合体,综合体,15094,181345,83.23361548,2020,既有建筑,苏州
综合体6,KS,综合体,综合体,15724,181345,86.70765668,2021,既有建筑,苏州
综合体2,UB,综合体,综合体,9739,85250,114.2404692,2020,既有建筑,上海
综合体2,UB,综合体,综合体,10154,85251,119.1071072,2021,既有建筑,上海
